Date,Latitude,Longitude,risk_factor,risk_level
2025-05-21 23:00:00,41.874383587,-87.641371544,4.0,Low
2025-05-21 22:30:00,41.891791478,-87.620917415,8.0,High
2025-05-21 21:04:00,41.88993496,-87.637696349,8.0,High
2025-05-21 21:04:00,41.884650262,-87.627915459,7.0,Medium
2025-05-21 21:00:00,41.894243758,-87.634138304,4.0,Low
2025-05-21 21:00:00,41.887615307,-87.624555539,10.0,High
2025-05-21 19:42:00,41.891352349,-87.615181817,4.0,Low
2025-05-21 19:30:00,41.890516252,-87.645817694,7.0,Medium
2025-05-21 18:31:00,41.882394062,-87.627844798,7.0,Medium
2025-05-21 17:55:00,41.893469034,-87.632648229,5.0,Medium
2025-05-21 17:15:00,41.878840427,-87.639582928,7.0,Medium
2025-05-21 16:29:00,41.86821682,-87.6304532,7.0,Medium
2025-05-21 16:20:00,41.885032519,-87.624481261,2.0,Low
2025-05-21 16:15:00,41.875254895,-87.627618559,9.0,High
2025-05-21 15:35:00,41.879235852,-87.624347038,4.0,Low
2025-05-21 15:35:00,41.879235852,-87.624347038,7.0,Medium
2025-05-21 15:35:00,41.880731604,-87.628828854,9.0,High
2025-05-21 14:45:00,41.874381838,-87.641536792,9.0,High
2025-05-21 14:44:00,41.883693593,-87.629431622,6.0,Medium
2025-05-21 14:30:00,41.895226353,-87.634164316,4.0,Low
2025-05-21 14:20:00,41.895226353,-87.634164316,7.0,Medium
2025-05-21 14:11:00,41.886012928,-87.629505318,10.0,High
2025-05-21 14:00:00,41.87815451,-87.630131336,9.0,High
2025-05-21 13:47:00,41.881623795,-87.626200793,7.0,Medium
2025-05-21 13:45:00,41.894173733,-87.621401474,7.0,Medium
2025-05-21 13:30:00,41.888788581,-87.63105039,7.0,Medium
2025-05-21 13:25:00,41.876263285,-87.628716369,3.0,Low
2025-05-21 13:07:00,41.891694878,-87.626155832,4.0,Low
2025-05-21 13:01:00,41.868541914,-87.639235361,7.0,Medium
2025-05-21 13:00:00,41.878225414,-87.626928592,7.0,Medium
2025-05-21 13:00:00,41.88249622,-87.624380767,7.0,Medium
2025-05-21 12:36:00,41.886763688,-87.650217153,2.0,Low
2025-05-21 12:32:00,41.891694878,-87.626155832,5.0,Medium
