ID,Date,Primary Type,Description,Arrest,Domestic,District,Ward,Community Area,FBI Code,Latitude,Longitude,month,year,severity_score,risk_factor,in_radius,risk_level
13843761,2025-05-22 00:00:00,BATTERY,SIMPLE,False,False,4,10,51,08B,41.705945023,-87.559643215,5,2025,6.0,8.0,False,High
13844386,2025-05-22 00:00:00,OTHER OFFENSE,TELEPHONE THREAT,False,False,2,3,38,08A,41.814677228,-87.626581855,5,2025,3.0,5.0,False,Medium
13844055,2025-05-22 00:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,19,47,5,08B,41.951369554,-87.685962363,5,2025,6.0,9.0,False,High
13843823,2025-05-22 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,5,9,49,07,41.710226058,-87.610191572,5,2025,6.0,8.0,False,High
13844297,2025-05-22 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,False,False,15,28,25,26,41.878155704,-87.74933484,5,2025,3.0,5.0,False,Medium
13847618,2025-05-22 00:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,False,True,24,50,2,08B,41.999638358,-87.6842041,5,2025,6.0,9.0,False,High
13847911,2025-05-22 00:00:00,BURGLARY,FORCIBLE ENTRY,False,False,3,20,42,05,41.78387329,-87.591424,5,2025,6.0,8.0,False,High
13843473,2025-05-22 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,False,False,12,27,28,14,41.884318082,-87.659424032,5,2025,4.0,6.0,False,Medium
13847682,2025-05-22 00:00:00,BURGLARY,UNLAWFUL ENTRY,False,True,7,6,69,05,41.766559481,-87.629800768,5,2025,6.0,9.0,True,High
13845002,2025-05-22 00:00:00,THEFT,FROM BUILDING,False,False,3,20,42,06,41.77455706,-87.600931147,5,2025,5.0,7.0,True,Medium
13843454,2025-05-22 00:00:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,True,False,6,6,69,15,41.751961373,-87.614974941,5,2025,7.0,7.0,False,Medium
13844277,2025-05-22 00:00:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,False,False,10,22,30,11,41.843543294,-87.722087963,5,2025,2.0,4.0,False,Low
13843947,2025-05-21 23:52:00,CRIMINAL TRESPASS,TO LAND,False,False,17,39,13,26,41.978388487,-87.711179157,5,2025,3.0,5.0,False,Medium
13843489,2025-05-21 23:43:00,NARCOTICS,FOUND SUSPECT NARCOTICS,True,False,16,38,17,18,41.938655905,-87.792050627,5,2025,5.0,5.0,False,Medium
